Opened the webpage: 2024-08-05 18:14:28
Page loaded: 2024-08-05 18:14:28
District folder '07 अमरावती' created or already exists: 2024-08-05 18:14:34
Taluka folder '10 भातकुली' created or already exists: 2024-08-05 18:14:35
Plot info: {'Survey No.': '45', 'Total Area': '0.3300', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:16
Plot info: {'Survey No.': '46', 'Total Area': '0.1600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:17
Plot info: {'Survey No.': '48', 'Total Area': '0.1900', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:19
Plot info: {'Survey No.': '49', 'Total Area': '0.4500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:20
Plot info: {'Survey No.': '5', 'Total Area': '0.0000', 'Pot kharaba': '1.7000', 'Owner Name': 'ई क्\u200dलास सरकार', 'Khata No.': '14'}: 2024-08-05 18:16:21
Plot info: {'Survey No.': '50/2', 'Total Area': '1.3100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:22
Plot info: {'Survey No.': '51/2', 'Total Area': '2.8000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:23
Plot info: {'Survey No.': '52', 'Total Area': '2.9000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:25
Plot info: {'Survey No.': '53/5/अ', 'Total Area': '2.9400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:27
Plot info: {'Survey No.': '54/4/अ/3', 'Total Area': '0.9600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:28
