Opened the webpage: 2024-08-05 01:22:02
Page loaded: 2024-08-05 01:22:02
District folder '07 अमरावती' created or already exists: 2024-08-05 01:22:08
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 01:22:09
Plot info: {'Survey No.': '59', 'Total Area': '6.7800', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:22
Plot info: {'Survey No.': '6', 'Total Area': '0.0000', 'Pot kharaba': '1.0300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '32'}: 2024-08-05 01:23:23
Plot info: {'Survey No.': '60', 'Total Area': '6.3100', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:24
Plot info: {'Survey No.': '61', 'Total Area': '0.0000', 'Pot kharaba': '5.3500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:23:25
Plot info: {'Survey No.': '62', 'Total Area': '2.9300', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:26
Plot info: {'Survey No.': '63', 'Total Area': '1.5300', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:28
Plot info: {'Survey No.': '64', 'Total Area': '0.0000', 'Pot kharaba': '3.9500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:23:29
Plot info: {'Survey No.': '65', 'Total Area': '0.0000', 'Pot kharaba': '1.7000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '32'}: 2024-08-05 01:23:30
Plot info: {'Survey No.': '66', 'Total Area': '0.0000', 'Pot kharaba': '3.9900', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:23:31
Plot info: {'Survey No.': '67', 'Total Area': '0.0000', 'Pot kharaba': '1.1800', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:32
Plot info: {'Survey No.': '68', 'Total Area': '1.3100', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:33
Plot info: {'Survey No.': '69', 'Total Area': '0.0000', 'Pot kharaba': '1.3500', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:34
Plot info: {'Survey No.': '7', 'Total Area': '0.4500', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:36
Plot info: {'Survey No.': '70', 'Total Area': '1.2800', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:37
Plot info: {'Survey No.': '71', 'Total Area': '2.2200', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:23:38
