Opened the webpage: 2024-08-05 00:16:48
Page loaded: 2024-08-05 00:16:48
District folder '07 अमरावती' created or already exists: 2024-08-05 00:16:55
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 00:16:56
Plot info: {'Survey No.': '46/1', 'Total Area': '0.0000', 'Pot kharaba': '0.6700', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:17:59
Plot info: {'Survey No.': '47', 'Total Area': '0.0000', 'Pot kharaba': '0.5200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '29'}: 2024-08-05 00:18:00
Plot info: {'Survey No.': '48', 'Total Area': '0.0000', 'Pot kharaba': '0.0100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:18:01
Plot info: {'Survey No.': '49', 'Total Area': '0.0000', 'Pot kharaba': '2.4500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:18:02
Plot info: {'Survey No.': '5', 'Total Area': '0.0000', 'Pot kharaba': '0.4600', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '38'}: 2024-08-05 00:18:03
Plot info: {'Survey No.': '50', 'Total Area': '0.0000', 'Pot kharaba': '3.5100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:18:04
Plot info: {'Survey No.': '51', 'Total Area': '0.0000', 'Pot kharaba': '0.2400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:18:05
Plot info: {'Survey No.': '52', 'Total Area': '0.0000', 'Pot kharaba': '3.2200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:18:06
Plot info: {'Survey No.': '53', 'Total Area': '0.0000', 'Pot kharaba': '1.3600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:18:07
Plot info: {'Survey No.': '54', 'Total Area': '0.0000', 'Pot kharaba': '0.1300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '29'}: 2024-08-05 00:18:08
Plot info: {'Survey No.': '55', 'Total Area': '0.0000', 'Pot kharaba': '1.5900', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:18:09
Plot info: {'Survey No.': '56', 'Total Area': '0.0000', 'Pot kharaba': '0.2300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '29'}: 2024-08-05 00:18:10
